CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
13491-79-7,2-tert-Butylcyclohexanol,"Cyclohexanol, 2-(1,1-dimethylethyl)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
562-74-3,"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-","3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41614.0
1423-46-7,"3-Cyclohexene-1-carboxaldehyde, 2,4,6-trimethyl-","3-Cyclohexene-1-carboxaldehyde, 2,4,6-trimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41614.0
13019-22-2,9-Decen-1-ol,9-Decen-1-ol,Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41614.0
628-63-7,Amyl acetate,"Acetic acid, pentyl ester",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
151-05-3,Benzyldimethyl carbinyl acetate,"Benzeneethanol, .alpha.,.alpha.-dimethyl-, 1-acetate",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
659-70-1,"Butanoic acid, 3-methyl-, 3-methylbutyl ester","Butanoic acid, 3-methyl-, 3-methylbutyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
28940-11-6,Calone,"2H-1,5-Benzodioxepin-3(4H)-one, 7-methyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
7492-67-3,Citronelloxyacetaldehyde,"Acetaldehyde, 2-[(3,7-dimethyl-6-octen-1-yl)oxy]-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41614.0
38462-22-5,"Cyclohexanone, 2-(1-mercapto-1-methylethyl)-5-methyl-","Cyclohexanone, 2-(1-mercapto-1-methylethyl)-5-methyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
705-86-2,delta-Decalactone,"2H-Pyran-2-one, tetrahydro-6-pentyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
713-95-1,delta-Dodecalactone,"2H-Pyran-2-one, 6-heptyltetrahydro-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
105-54-4,Ethyl butyrate,"Butanoic acid, ethyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
7452-79-1,Ethyl ester 2-methylbutanoic acid,"Butanoic acid, 2-methyl-, ethyl ester",Half Green [Circle],,Chemical added to the list,41614.0
108-64-5,Ethyl isovalerate,"Butanoic acid, 3-methyl-, ethyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
141773-73-1,Helvetolide,"1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate",Half Green [Circle],,Chemical added to the list,41614.0
66-25-1,Hexanal,Hexanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
123-66-0,"Hexanoic acid, ethyl ester","Hexanoic acid, ethyl ester",Half Green [Circle],,Chemical added to the list,41614.0
142-92-7,Hexyl acetate,"Acetic acid, hexyl ester",Half Green [Circle],,Chemical added to the list,41614.0
123-92-2,Isoamyl acetate,"1-Butanol, 3-methyl-, 1-acetate",Half Green [Circle],,Chemical added to the list,41614.0
106-27-4,Isoamyl butyrate,"Butanoic acid, 3-methylbutyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
110-19-0,Isobutyl acetate,"Acetic acid, 2-methylpropyl ester",Half Green [Circle],,Chemical added to the list,41614.0
87-19-4,Isobutyl salicylate,"Benzoic acid, 2-hydroxy-, 2-methylpropyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41614.0
1335-66-6,Isocyclocitral,Isocyclocitral,Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41614.0
488-10-8,Jasmone,"2-Cyclopenten-1-one, 3-methyl-2-(2Z)-2-penten-1-yl-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41614.0
111-79-5,Methyl 2-nonenoate,"2-Nonenoic acid, methyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
111-80-8,Methyl 2-nonynoate,"2-Nonynoic acid, methyl ester",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
112-14-1,Octyl acetate,"Acetic acid, octyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above",Chemical added to the list,41614.0
109-29-5,Oxacycloheptadecan-2-one,Oxacycloheptadecan-2-one,Half Green [Circle],,Chemical added to the list,41614.0
111879-80-2,"Oxacyclohexadec-12-en-2-one, (12E)-","Oxacyclohexadec-12-en-2-one, (12E)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
111879-79-9,"Oxacyclohexadec-12-en-2-one, (12Z)-","Oxacyclohexadec-12-en-2-one, (12Z)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
99219-32-6,"Oxacyclohexadec-13-en-2-one, (13E)-","Oxacyclohexadec-13-en-2-one, (13E)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
111879-81-3,"Oxacyclohexadec-13-en-2-one, (13Z)-","Oxacyclohexadec-13-en-2-one, (13Z)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41614.0
106-02-5,Oxacyclohexadecan-2-one,Oxacyclohexadecan-2-one,Half Green [Circle],,Chemical added to the list,41614.0
69103-20-4,"Oxirane, 2,2-dimethyl-3-(3-methyl-2,4-pentadien-1-yl)-","Oxirane, 2,2-dimethyl-3-(3-methyl-2,4-pentadien-1-yl)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41614.0
67634-20-2,"Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-5-yl ester","Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-5-yl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above",Chemical added to the list,41614.0
122-48-5,Vanillyl acetone,"2-Butanone, 4-(4-hydroxy-3-methoxyphenyl)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above",Chemical added to the list,41614.0
29132-58-9,"2-Butenedioic acid (2Z)-, polymer with 2-propenoic acid","2-Butenedioic acid (2Z)-, polymer with 2-propenoic acid",Green [Circle],,Chemical added to the list,41614.0
26099-88-7,"Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid, sodium salt","Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid, sodium salt",Green [Circle],,Chemical added to the list,41614.0
72243-90-4,C.I. Acid Violet 48,"Benzenesulfonic acid, 3-[[4-amino-9,10-dihydro-9,10-dioxo-3-[sulfo-4-(1,1,3,3-tetramethylbutyl)phenoxy]-1-anthracenyl]amino]-2,4,6-trimethyl-, sodium salt (1:2)",Yellow [Triangle],,Chemical added to the list,41614.0
1079184-43-2,"Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, esters with C16-18 and C18-unsatd. fatty acids, chlorides","Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, esters with C16-18 and C18-unsatd. fatty acids, chlorides",Green [Circle],,Chemical added to the list,41614.0
56-40-6,Glycine,Glycine,Green [Circle],,Chemical added to the list,41614.0
75-75-2,Methanesulfonic acid,Methanesulfonic acid,Green [Circle],,Chemical added to the list,41614.0
68937-55-3,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated propoxylated","Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated propoxylated",Yellow [Triangle],*Yellow based on some concern for aquatic toxicity. Allowed to provide functionality.,Chemical added to the list,41614.0
30364-51-3,Sodium myristol sarcosinate,"Glycine, N-methyl-N-(1-oxotetradecyl)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,41614.0
577-11-7,Bis(2-ethylhexyl) sodium sulfosuccinate,"Butanedioic acid, 2-sulfo-, 1,4-bis(2-ethylhexyl) ester, sodium salt (1:1)",Grey [Square],*Flagged on 12/20/2013 for removal from SCIL in 12 months.,Geometric color code changed from Green [Circle] to Grey [Square],41614.0
100-51-6,Benzyl alcohol,Benzenemethanol,Grey [Square],*Flagged on 12/20/2013 for removal from SCIL in 12 months,Geometric color code changed from Yellow [Triangle] to Grey [Square],41614.0
24851-98-7,Methyl dihydrojasmonate,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",Green [Circle],,Geometric color code changed from Yellow [Triangle] to Green [Circle],41614.0
77-93-0,Triethyl citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-triethyl ester",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
78-69-3,Tetrahydrolinalool,"3-Octanol, 3,7-dimethyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
78-70-6,Linalool,"1,6-Octadien-3-ol, 3,7-dimethyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
79-89-0,Methyl delta ionone,"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
79-92-5,Camphene,"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
80-26-2,Terpinyl acetate,"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, 1-acetate",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
87-20-7,Isoamyl salicylate,"Benzoic acid, 2-hydroxy-, 3-methylbutyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
88-41-5,Verdox,"Cyclohexanol, 2-(1,1-dimethylethyl)-, 1-acetate",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
89-78-1,"Menthol, racemic","Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-rel-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
89-79-2,Isopulegol,"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, (1R,2S,5R)-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
93-04-9,"Naphthalene, 2-methoxy-","Naphthalene, 2-methoxy-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
93-08-3,2-Acetylnaphthalene,"Ethanone, 1-(2-naphthalenyl)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
93-18-5,"Naphthalene, 2-ethoxy-","Naphthalene, 2-ethoxy-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
93-58-3,Methyl benzoate,"Benzoic acid, methyl ester",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
98-52-2,4-tert-Butylcyclohexanol,"Cyclohexanol, 4-(1,1-dimethylethyl)-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
98-55-5,alpha-Terpineol,"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
99-49-0,Carvone,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
99-85-4,gamma-Terpinene,"1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
101-84-8,Diphenyl oxide,"Benzene, 1,1'-oxybis-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
102-76-1,Glycerol triacetate,"1,2,3-Propanetriol, 1,2,3-triacetate",Green [Circle],,Chemical added to the list,41479.0
104-67-6,Gamma-undecalactone,"2(3H)-Furanone, 5-heptyldihydro-",Half Green [Circle],,Chemical added to the list,41479.0
105-53-3,Diethyl malonate,"Propanedioic acid, 1,3-diethyl ester",Green [Circle],,Chemical added to the list,41479.0
105-95-3,Ethylene brassylate,"1,4-Dioxacycloheptadecane-5,17-dione",Half Green [Circle],,Chemical added to the list,41479.0
106-21-8,Dihydrocitronellol,"1-Octanol, 3,7-dimethyl-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
106-22-9,Citronellol,"6-Octen-1-ol, 3,7-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
106-23-0,Citronellal,"6-Octenal, 3,7-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
106-72-9,Melonal,"5-Heptenal, 2,6-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
107-75-5,Hydroxycitronellal,"Octanal, 7-hydroxy-3,7-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
110-41-8,"Undecanal, 2-methyl-","Undecanal, 2-methyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
112-31-2,Decaldehyde,Decanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
112-44-7,Undecanal,Undecanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
112-45-8,10-Undecenal,10-Undecenal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
112-54-9,Dodecanal,Dodecanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
115-95-7,Linalyl acetate,"1,6-Octadien-3-ol, 3,7-dimethyl-, 3-acetate",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
118-58-1,Benzyl salicylate,"Benzoic acid, 2-hydroxy-, phenylmethyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
120-72-9,Indole,1H-Indole,Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
121-32-4,Ethyl vanillin,"Benzaldehyde, 3-ethoxy-4-hydroxy-",Half Green [Circle],,Chemical added to the list,41479.0
121-33-5,Vanillin,"Benzaldehyde, 4-hydroxy-3-methoxy-",Green [Circle],,Chemical added to the list,41479.0
122-03-2,Cuminaldehyde,"Benzaldehyde, 4-(1-methylethyl)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
124-13-0,Octanal,Octanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
124-19-6,Nonanal,Nonanal,Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
127-41-3,alpha-Ionone,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
127-51-5,alpha-Isomethylionone,"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
137-03-1,2-Heptylcyclopentan-1-one,"Cyclopentanone, 2-heptyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
138-86-3,Dipentene,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
143-08-8,1-Nonanol,1-Nonanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
150-78-7,"1,4-dimethoxybenzene","Benzene, 1,4-dimethoxy-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
150-84-5,Citronellyl acetate,"6-Octen-1-ol, 3,7-dimethyl-, 1-acetate",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
470-82-6,Eucalyptol,"2-Oxabicyclo[2.2.2]octane, 1,3,3-trimethyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
586-62-9,Terpinolene,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
706-14-9,gamma-Decalactone,"2(3H)-Furanone, 5-hexyldihydro-",Half Green [Circle],,Chemical added to the list,41479.0
928-96-1,cis-3-hexenol,"3-Hexen-1-ol, (3Z)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
1191-16-8,Dimethylallyl acetate,"2-Buten-1-ol, 3-methyl-, 1-acetate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
1335-46-2,Methylionone,"Ionone, methyl-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
2050-08-0,Amyl salicylate,"Benzoic acid, 2-hydroxy-, pentyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
2216-51-5,L-Menthol,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
3681-71-8,(Z)- cis-3-Hexenyl acetate,"3-Hexen-1-ol, 1-acetate, (3Z)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
4819-67-4,"Cyclopentanone, 2-pentyl-","Cyclopentanone, 2-pentyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
5413-60-5,Verdyl acetate,"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, 6-acetate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
6259-76-3,Hexyl Salicylate,"Benzoic acid, 2-hydroxy-, hexyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
6485-40-1,l-Carvone,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5R)-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
7779-30-8,alpha-Methyl ionone,"1-Penten-3-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
8000-41-7,Terpineol (mixed isomers),Terpineol,Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
8007-35-0,Terpineol acetate,"Terpineol, acetate",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
8008-57-9,Sweet orange oil,"Oils, orange, sweet",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
8013-90-9,Ionone,Ionone,Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
10250-45-0,Diisobutyl carbinyl acetate,"4-Heptanol, 2,6-dimethyl-, 4-acetate",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
10339-55-6,Ethyl linalool,"1,6-Nonadien-3-ol, 3,7-dimethyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
13254-34-7,"2,6-Dimethyl-2-heptanol","2-Heptanol, 2,6-dimethyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
14901-07-6,beta-Ionone,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
17511-60-3,Tricyclodecenyl propionate,"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, 6-propanoate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
18479-58-8,Dihydromyrcenol,"7-Octen-2-ol, 2,6-dimethyl-",Half Green [Circle],,Chemical added to the list,41479.0
18871-14-2,Jasmal,"Pentitol, 1,5-anhydro-2,4-dideoxy-2-pentyl-, 3-acetate",Half Green [Circle],,Chemical added to the list,41479.0
22457-23-4,3-Methyl-5-heptanone oxime,"3-Heptanone, 5-methyl-, oxime",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
24851-98-7,Methyl dihydrojasmonate,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",Green [Circle],,Chemical added to the list,41479.0
28219-61-6,"2-Buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)- (Bacdanol)","2-Buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",Half Green [Circle],,Chemical added to the list,41479.0
32210-23-4,4-t-Butylcyclohexyl acetate ,"Cyclohexanol, 4-(1,1-dimethylethyl)-, 1-acetate",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
51115-63-0,2-Methylbutyl salicylate,"Benzoic acid, 2-hydroxy-, 2-methylbutyl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
53219-21-9,"7-Octen-2-ol, 2-methyl-6-methylene-, dihydro deriv.","7-Octen-2-ol, 2-methyl-6-methylene-, dihydro deriv.",Half Green [Circle],,Chemical added to the list,41479.0
54830-99-8,"4,7-Methano-1H-indenol, 3a,4,5,6,7,7a-hexahydro-, acetate","4,7-Methano-1H-indenol, 3a,4,5,6,7,7a-hexahydro-, acetate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
55066-48-3,"Benzenepentanol, gamma-methyl-","Benzenepentanol, .gamma.-methyl-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
57378-68-4,delta-Damascone,"2-Buten-1-one, 1-(2,6,6-trimethyl-3-cyclohexen-1-yl)-",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
61931-80-4,Ethyl linalyl acetate,"1,6-Nonadien-3-ol, 3,7-dimethyl-, 3-acetate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
63500-71-0,Florol,"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",Half Green [Circle],,Chemical added to the list,41479.0
65113-99-7,Sandalore,"3-Cyclopentene-1-butanol, .alpha.,.beta.,2,2,3-pentamethyl-",Half Green [Circle],,Chemical added to the list,41479.0
65405-77-8,3-Hexenyl salicylate,"Benzoic acid, 2-hydroxy-, (3Z)-3-hexen-1-yl ester",Grey [Square],*Flagged on 9/5/2014 for removal from SCIL in 12 months,Chemical added to the list,41479.0
67633-96-9,3-cis-Hexenyl methyl carbonate,"Carbonic acid, (3Z)-3-hexen-1-yl methyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
67634-14-4,"para-Ethyl-alpha,alpha-dimethyl-hydrocinnamaldehyde","Benzenepropanal, 2-ethyl-.alpha.,.alpha.-dimethyl-",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
67634-15-5,Ethyl dimethylhydrocinnamaldehyde,"Benzenepropanal, 4-ethyl-.alpha.,.alpha.-dimethyl-",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
68039-39-4,"Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl ester","Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
68039-49-6,Ligustral,"3-Cyclohexene-1-carboxaldehyde, 2,4-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
68737-61-1,Dimethyl tetrahydrobenzaldehyde,"3-Cyclohexene-1-carboxaldehyde, 2,4(or 3,5)-dimethyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
68912-13-0,Dicyclopentadiene propionate,"4,7-Methano-1H-indenol, 3a,4,5,6,7,7a-hexahydro-, propanoate",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
70788-30-6,"Cyclohexanepropanol, 2,2,6-trimethyl-.alpha.-propyl-","Cyclohexanepropanol, 2,2,6-trimethyl-.alpha.-propyl-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
81752-87-6,"Cyclohexanecarboxylic acid, 2,2-dimethyl-6-methylene-, methyl ester","Cyclohexanecarboxylic acid, 2,2-dimethyl-6-methylene-, methyl ester",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
81782-77-6,"3-Decen-5-ol, 4-methyl-","3-Decen-5-ol, 4-methyl-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical added to the list,41479.0
86803-90-9,Scentenal,"4,7-Methano-1H-indene-2-carboxaldehyde, octahydro-5-methoxy-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
125109-85-5,Isopropylphenylbutanal,"Benzenepropanal, .beta.-methyl-3-(1-methylethyl)-",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical added to the list,41479.0
166432-52-6,"1,3-Undecadien-5-yne","1,3-Undecadien-5-yne",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
38285-49-3,Jasmin pyranol,"2H-Pyran-4-ol, 3-butyltetrahydro-5-methyl-, acetate",Half Green [Circle],,Chemical added to the list,41479.0
543-39-5,Myrcenol,"7-Octen-2-ol, 2-methyl-6-methylene-",Half Green [Circle],,Chemical added to the list,41479.0
1490-04-6,Menthol (unspecified isomer),"Cyclohexanol, 5-methyl-2-(1-methylethyl)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
15356-60-2,D-Menthol,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1S,2R,5S)-",Yellow [Triangle],"*Known sensitizer, see above.",Chemical added to the list,41479.0
928-97-2,trans-3-Hexenol,"3-Hexen-1-ol, (3E)-",Yellow [Triangle],"*Lacks sufficient sensitization data, see above.",Chemical added to the list,41479.0
108-59-8,Dimethyl malonate,"Propanedioic acid, 1,3-dimethyl ester",Green [Circle],,Chemical added to the list,41479.0
111-87-5,1-Octanol,1-Octanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
112-30-1,1-Decanol,1-Decanol,Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical added to the list,41479.0
